year,team,goals,opponent,type,home_team
1954,NY1,7,CLE,away_team,CLE
1955,BRO,5,NYA,away_team,NYA
1955,BRO,2,NYA,away_team,NYA
1955,NYA,3,BRO,away_team,BRO
1955,NYA,5,BRO,away_team,BRO
1955,NYA,3,BRO,away_team,BRO
1955,BRO,1,NYA,away_team,NYA
1955,BRO,2,NYA,away_team,NYA
1956,NYA,3,BRO,away_team,BRO
1956,NYA,8,BRO,away_team,BRO
1956,BRO,3,NYA,away_team,NYA
1956,BRO,2,NYA,away_team,NYA
1956,BRO,0,NYA,away_team,NYA
1956,NYA,0,BRO,away_team,BRO
1956,NYA,9,BRO,away_team,BRO
1957,MLN,1,NYA,away_team,NYA
1957,MLN,4,NYA,away_team,NYA
1957,NYA,12,MLN,away_team,MLN
1957,NYA,5,MLN,away_team,MLN
1957,NYA,0,MLN,away_team,MLN
1957,MLN,2,NYA,away_team,NYA
1957,MLN,5,NYA,away_team,NYA
1958,NYA,3,MLN,away_team,MLN
1958,NYA,5,MLN,away_team,MLN
1958,MLN,0,NYA,away_team,NYA
1958,MLN,3,NYA,away_team,NYA
1958,MLN,0,NYA,away_team,NYA
1958,NYA,4,MLN,away_team,MLN
1958,NYA,6,MLN,away_team,MLN
1959,LAN,0,CHA,away_team,CHA
1959,LAN,4,CHA,away_team,CHA
1959,CHA,1,LAN,away_team,LAN
1959,CHA,4,LAN,away_team,LAN
1959,CHA,1,LAN,away_team,LAN
1959,LAN,9,CHA,away_team,CHA
1960,NYA,4,PIT,away_team,PIT
1960,NYA,16,PIT,away_team,PIT
1960,PIT,0,NYA,away_team,NYA
1960,PIT,3,NYA,away_team,NYA
1960,PIT,5,NYA,away_team,NYA
1960,NYA,12,PIT,away_team,PIT
1960,NYA,9,PIT,away_team,PIT
1961,CIN,0,NYA,away_team,NYA
1961,CIN,6,NYA,away_team,NYA
1961,NYA,3,CIN,away_team,CIN
1961,NYA,7,CIN,away_team,CIN
1961,NYA,13,CIN,away_team,CIN
1962,NYA,6,SFN,away_team,SFN
1962,NYA,0,SFN,away_team,SFN
1962,SFN,2,NYA,away_team,NYA
1962,SFN,7,NYA,away_team,NYA
1962,SFN,3,NYA,away_team,NYA
1962,NYA,2,SFN,away_team,SFN
1962,NYA,1,SFN,away_team,SFN
1963,LAN,5,NYA,away_team,NYA
1963,LAN,4,NYA,away_team,NYA
1963,NYA,0,LAN,away_team,LAN
1963,NYA,1,LAN,away_team,LAN
1964,NYA,5,SLN,away_team,SLN
1964,NYA,8,SLN,away_team,SLN
1964,SLN,1,NYA,away_team,NYA
1964,SLN,4,NYA,away_team,NYA
1964,SLN,5,NYA,away_team,NYA
1964,NYA,8,SLN,away_team,SLN
1964,NYA,5,SLN,away_team,SLN
1965,LAN,2,MIN,away_team,MIN
1965,LAN,1,MIN,away_team,MIN
1965,MIN,0,LAN,away_team,LAN
1965,MIN,2,LAN,away_team,LAN
1965,MIN,0,LAN,away_team,LAN
1965,LAN,1,MIN,away_team,MIN
1965,LAN,2,MIN,away_team,MIN
1966,BAL,5,LAN,away_team,LAN
1966,BAL,6,LAN,away_team,LAN
1966,LAN,0,BAL,away_team,BAL
1966,LAN,0,BAL,away_team,BAL
1967,SLN,2,BOS,away_team,BOS
1967,SLN,0,BOS,away_team,BOS
1967,BOS,2,SLN,away_team,SLN
1967,BOS,0,SLN,away_team,SLN
1967,BOS,3,SLN,away_team,SLN
1967,SLN,4,BOS,away_team,BOS
1967,SLN,7,BOS,away_team,BOS
1968,DET,0,SLN,away_team,SLN
1968,DET,8,SLN,away_team,SLN
1968,SLN,7,DET,away_team,DET
1968,SLN,10,DET,away_team,DET
1968,SLN,3,DET,away_team,DET
1968,DET,13,SLN,away_team,SLN
1968,DET,4,SLN,away_team,SLN
1969,NYN,1,BAL,away_team,BAL
1969,NYN,2,BAL,away_team,BAL
1969,BAL,0,NYN,away_team,NYN
1969,BAL,1,NYN,away_team,NYN
1969,BAL,3,NYN,away_team,NYN
1970,BAL,4,CIN,away_team,CIN
1970,BAL,6,CIN,away_team,CIN
1970,CIN,3,BAL,away_team,BAL
1970,CIN,6,BAL,away_team,BAL
1970,CIN,3,BAL,away_team,BAL
1971,PIT,3,BAL,away_team,BAL
1971,PIT,3,BAL,away_team,BAL
1971,BAL,1,PIT,away_team,PIT
1971,BAL,3,PIT,away_team,PIT
1971,BAL,0,PIT,away_team,PIT
1971,PIT,2,BAL,away_team,BAL
1971,PIT,2,BAL,away_team,BAL
1972,OAK,3,CIN,away_team,CIN
1972,OAK,2,CIN,away_team,CIN
1972,CIN,1,OAK,away_team,OAK
1972,CIN,2,OAK,away_team,OAK
1972,CIN,5,OAK,away_team,OAK
1972,OAK,1,CIN,away_team,CIN
1972,OAK,3,CIN,away_team,CIN
1973,NYN,1,OAK,away_team,OAK
1973,NYN,10,OAK,away_team,OAK
1973,OAK,3,NYN,away_team,NYN
1973,OAK,1,NYN,away_team,NYN
1973,OAK,0,NYN,away_team,NYN
1973,NYN,1,OAK,away_team,OAK
1973,NYN,2,OAK,away_team,OAK
1974,OAK,3,LAN,away_team,LAN
1974,OAK,2,LAN,away_team,LAN
1974,LAN,2,OAK,away_team,OAK
1974,LAN,2,OAK,away_team,OAK
1974,LAN,2,OAK,away_team,OAK
1975,CIN,0,BOS,away_team,BOS
1975,CIN,3,BOS,away_team,BOS
1975,BOS,5,CIN,away_team,CIN
1975,BOS,5,CIN,away_team,CIN
1975,BOS,2,CIN,away_team,CIN
1975,CIN,6,BOS,away_team,BOS
1975,CIN,4,BOS,away_team,BOS
1976,NYA,1,CIN,away_team,CIN
1976,NYA,3,CIN,away_team,CIN
1976,CIN,6,NYA,away_team,NYA
1976,CIN,7,NYA,away_team,NYA
1977,LAN,3,NYA,away_team,NYA
1977,LAN,6,NYA,away_team,NYA
1977,NYA,5,LAN,away_team,LAN
1977,NYA,4,LAN,away_team,LAN
1977,NYA,4,LAN,away_team,LAN
1977,LAN,4,NYA,away_team,NYA
1978,NYA,5,LAN,away_team,LAN
1978,NYA,3,LAN,away_team,LAN
1978,LAN,1,NYA,away_team,NYA
1978,LAN,3,NYA,away_team,NYA
1978,LAN,2,NYA,away_team,NYA
1978,NYA,7,LAN,away_team,LAN
1979,PIT,4,BAL,away_team,BAL
1979,PIT,3,BAL,away_team,BAL
1979,BAL,8,PIT,away_team,PIT
1979,BAL,9,PIT,away_team,PIT
1979,BAL,1,PIT,away_team,PIT
1979,PIT,4,BAL,away_team,BAL
1979,PIT,4,BAL,away_team,BAL
1980,KCA,6,PHI,away_team,PHI
1980,KCA,4,PHI,away_team,PHI
1980,PHI,3,KCA,away_team,KCA
1980,PHI,3,KCA,away_team,KCA
1980,PHI,4,KCA,away_team,KCA
1980,KCA,1,PHI,away_team,PHI
1981,LAN,3,NYA,away_team,NYA
1981,LAN,0,NYA,away_team,NYA
1981,NYA,4,LAN,away_team,LAN
1981,NYA,7,LAN,away_team,LAN
1981,NYA,1,LAN,away_team,LAN
1981,LAN,9,NYA,away_team,NYA
1982,MIL,10,SLN,away_team,SLN
1982,MIL,4,SLN,away_team,SLN
1982,SLN,6,MIL,away_team,MIL
1982,SLN,5,MIL,away_team,MIL
1982,SLN,4,MIL,away_team,MIL
1982,MIL,1,SLN,away_team,SLN
1982,MIL,3,SLN,away_team,SLN
1983,PHI,2,BAL,away_team,BAL
1983,PHI,1,BAL,away_team,BAL
1983,BAL,3,PHI,away_team,PHI
1983,BAL,5,PHI,away_team,PHI
1983,BAL,5,PHI,away_team,PHI
1984,DET,3,SDN,away_team,SDN
1984,DET,3,SDN,away_team,SDN
1984,SDN,2,DET,away_team,DET
1984,SDN,2,DET,away_team,DET
1984,SDN,4,DET,away_team,DET
1985,SLN,3,KCA,away_team,KCA
1985,SLN,4,KCA,away_team,KCA
1985,KCA,6,SLN,away_team,SLN
1985,KCA,0,SLN,away_team,SLN
1985,KCA,6,SLN,away_team,SLN
1985,SLN,1,KCA,away_team,KCA
1985,SLN,0,KCA,away_team,KCA
1986,BOS,1,NYN,away_team,NYN
1986,BOS,9,NYN,away_team,NYN
1986,NYN,7,BOS,away_team,BOS
1986,NYN,6,BOS,away_team,BOS
1986,NYN,2,BOS,away_team,BOS
1986,BOS,5,NYN,away_team,NYN
1986,BOS,5,NYN,away_team,NYN
1987,SLN,1,MIN,away_team,MIN
1987,SLN,4,MIN,away_team,MIN
1987,MIN,1,SLN,away_team,SLN
1987,MIN,2,SLN,away_team,SLN
1987,MIN,2,SLN,away_team,SLN
1987,SLN,5,MIN,away_team,MIN
1987,SLN,2,MIN,away_team,MIN
1988,OAK,4,LAN,away_team,LAN
1988,OAK,0,LAN,away_team,LAN
1988,LAN,1,OAK,away_team,OAK
1988,LAN,4,OAK,away_team,OAK
1988,LAN,5,OAK,away_team,OAK
1989,SFN,0,OAK,away_team,OAK
1989,SFN,1,OAK,away_team,OAK
1989,OAK,13,SFN,away_team,SFN
1989,OAK,9,SFN,away_team,SFN
1990,OAK,0,CIN,away_team,CIN
1990,OAK,4,CIN,away_team,CIN
1990,CIN,8,OAK,away_team,OAK
1990,CIN,2,OAK,away_team,OAK
1991,ATL,2,MIN,away_team,MIN
1991,ATL,2,MIN,away_team,MIN
1991,MIN,4,ATL,away_team,ATL
1991,MIN,2,ATL,away_team,ATL
1991,MIN,5,ATL,away_team,ATL
1991,ATL,3,MIN,away_team,MIN
1991,ATL,0,MIN,away_team,MIN
1992,TOR,1,ATL,away_team,ATL
1992,TOR,5,ATL,away_team,ATL
1992,ATL,2,TOR,away_team,TOR
1992,ATL,1,TOR,away_team,TOR
1992,ATL,7,TOR,away_team,TOR
1992,TOR,4,ATL,away_team,ATL
1993,PHI,5,TOR,away_team,TOR
1993,PHI,6,TOR,away_team,TOR
1993,TOR,10,PHI,away_team,PHI
1993,TOR,15,PHI,away_team,PHI
1993,TOR,0,PHI,away_team,PHI
1993,PHI,6,TOR,away_team,TOR
1995,CLE,2,ATL,away_team,ATL
1995,CLE,3,ATL,away_team,ATL
1995,ATL,6,CLE,away_team,CLE
1995,ATL,5,CLE,away_team,CLE
1995,ATL,4,CLE,away_team,CLE
1995,CLE,0,ATL,away_team,ATL
1996,ATL,12,NYA,away_team,NYA
1996,ATL,4,NYA,away_team,NYA
1996,NYA,5,ATL,away_team,ATL
1996,NYA,8,ATL,away_team,ATL
1996,NYA,1,ATL,away_team,ATL
1996,ATL,2,NYA,away_team,NYA
1997,CLE,4,FLO,away_team,FLO
1997,CLE,6,FLO,away_team,FLO
1997,FLO,14,CLE,away_team,CLE
1997,FLO,3,CLE,away_team,CLE
1997,FLO,8,CLE,away_team,CLE
1997,CLE,4,FLO,away_team,FLO
1997,CLE,2,FLO,away_team,FLO
1998,SDN,6,NYA,away_team,NYA
1998,SDN,3,NYA,away_team,NYA
1998,NYA,5,SDN,away_team,SDN
1998,NYA,3,SDN,away_team,SDN
1999,NYA,4,ATL,away_team,ATL
1999,NYA,7,ATL,away_team,ATL
1999,ATL,5,NYA,away_team,NYA
1999,ATL,1,NYA,away_team,NYA
2000,NYN,3,NYA,away_team,NYA
2000,NYN,5,NYA,away_team,NYA
2000,NYA,2,NYN,away_team,NYN
2000,NYA,3,NYN,away_team,NYN
2000,NYA,4,NYN,away_team,NYN
2001,NYA,1,ARI,away_team,ARI
2001,NYA,0,ARI,away_team,ARI
2001,ARI,1,NYA,away_team,NYA
2001,ARI,3,NYA,away_team,NYA
2001,ARI,2,NYA,away_team,NYA
2001,NYA,2,ARI,away_team,ARI
2001,NYA,2,ARI,away_team,ARI
2002,SFN,4,ANA,away_team,ANA
2002,SFN,10,ANA,away_team,ANA
2002,ANA,10,SFN,away_team,SFN
2002,ANA,3,SFN,away_team,SFN
2002,ANA,4,SFN,away_team,SFN
2002,SFN,5,ANA,away_team,ANA
2002,SFN,1,ANA,away_team,ANA
2003,FLO,3,NYA,away_team,NYA
2003,FLO,1,NYA,away_team,NYA
2003,NYA,6,FLO,away_team,FLO
2003,NYA,3,FLO,away_team,FLO
2003,NYA,4,FLO,away_team,FLO
2003,FLO,2,NYA,away_team,NYA
2004,SLN,9,BOS,away_team,BOS
2004,SLN,2,BOS,away_team,BOS
2004,BOS,4,SLN,away_team,SLN
2004,BOS,3,SLN,away_team,SLN
2005,HOU,3,CHA,away_team,CHA
2005,HOU,6,CHA,away_team,CHA
2005,CHA,7,HOU,away_team,HOU
2005,CHA,1,HOU,away_team,HOU
2006,SLN,7,DET,away_team,DET
2006,SLN,1,DET,away_team,DET
2006,DET,0,SLN,away_team,SLN
2006,DET,4,SLN,away_team,SLN
2006,DET,2,SLN,away_team,SLN
2007,COL,1,BOS,away_team,BOS
2007,COL,1,BOS,away_team,BOS
2007,BOS,10,COL,away_team,COL
2007,BOS,4,COL,away_team,COL
2008,PHI,3,TBA,away_team,TBA
2008,PHI,2,TBA,away_team,TBA
2008,TBA,4,PHI,away_team,PHI
2008,TBA,2,PHI,away_team,PHI
2008,TBA,3,PHI,away_team,PHI
2009,PHI,6,NYA,away_team,NYA
2009,PHI,1,NYA,away_team,NYA
2009,NYA,8,PHI,away_team,PHI
2009,NYA,7,PHI,away_team,PHI
2009,NYA,6,PHI,away_team,PHI
2009,PHI,3,NYA,away_team,NYA
2010,TEX,7,SFN,away_team,SFN
2010,TEX,0,SFN,away_team,SFN
2010,SFN,2,TEX,away_team,TEX
2010,SFN,4,TEX,away_team,TEX
2010,SFN,3,TEX,away_team,TEX
2011,TEX,2,SLN,away_team,SLN
2011,TEX,2,SLN,away_team,SLN
2011,SLN,16,TEX,away_team,TEX
2011,SLN,0,TEX,away_team,TEX
2011,SLN,2,TEX,away_team,TEX
2011,TEX,9,SLN,away_team,SLN
2011,TEX,2,SLN,away_team,SLN
2012,DET,3,SFN,away_team,SFN
2012,DET,0,SFN,away_team,SFN
2012,SFN,2,DET,away_team,DET
2012,SFN,4,DET,away_team,DET
2013,SLN,1,BOS,away_team,BOS
2013,SLN,4,BOS,away_team,BOS
2013,BOS,4,SLN,away_team,SLN
2013,BOS,4,SLN,away_team,SLN
2013,BOS,3,SLN,away_team,SLN
2013,SLN,1,BOS,away_team,BOS
2014,SFN,7,KCA,away_team,KCA
2014,SFN,2,KCA,away_team,KCA
2014,KCA,3,SFN,away_team,SFN
2014,KCA,4,SFN,away_team,SFN
2014,KCA,0,SFN,away_team,SFN
2014,SFN,0,KCA,away_team,KCA
2014,SFN,3,KCA,away_team,KCA
2015,NYN,4,KCA,away_team,KCA
2015,NYN,1,KCA,away_team,KCA
2015,KCA,3,NYN,away_team,NYN
2015,KCA,5,NYN,away_team,NYN
2015,KCA,7,NYN,away_team,NYN
2016,CHN,0,CLE,away_team,CLE
2016,CHN,5,CLE,away_team,CLE
2016,CLE,1,CHN,away_team,CHN
2016,CLE,7,CHN,away_team,CHN
2016,CLE,2,CHN,away_team,CHN
2016,CHN,9,CLE,away_team,CLE
2016,CHN,8,CLE,away_team,CLE
2017,HOU,1,LAN,away_team,LAN
2017,HOU,7,LAN,away_team,LAN
2017,LAN,3,HOU,away_team,HOU
2017,LAN,6,HOU,away_team,HOU
2017,LAN,12,HOU,away_team,HOU
2017,HOU,1,LAN,away_team,LAN
2017,HOU,5,LAN,away_team,LAN
