year,key_team,win,loss,runs_for,runs_against
1961,BAL,95,67,691,588
1961,BOS,76,86,729,792
1961,CHA,86,76,765,726
1961,CHN,64,90,689,800
1961,CIN,93,61,710,653
1961,CLE,78,83,737,752
1961,DET,101,61,841,671
1961,KC1,61,100,683,863
1961,LAA,70,91,744,784
1961,LAN,89,65,735,697
1961,MIN,70,90,707,778
1961,MLN,83,71,712,656
1961,NYA,109,53,827,612
1961,PHI,47,107,584,796
1961,PIT,75,79,694,675
1961,SFN,85,69,773,655
1961,SLN,80,74,703,668
1961,WS2,61,100,618,776
1962,BAL,77,85,652,680
1962,BOS,76,84,707,756
1962,CHA,85,77,707,658
1962,CHN,59,103,632,827
1962,CIN,98,64,802,685
1962,CLE,80,82,682,745
1962,DET,85,76,758,692
1962,HOU,64,96,592,717
1962,KC1,72,90,745,837
1962,LAA,86,76,718,706
1962,LAN,102,63,842,697
1962,MIN,91,71,798,713
1962,MLN,86,76,730,665
1962,NYA,96,66,817,680
1962,NYN,40,120,617,948
1962,PHI,81,80,705,759
1962,PIT,93,68,706,626
1962,SFN,103,62,878,690
1962,SLN,84,78,774,664
1962,WS2,60,101,599,716
1963,BAL,86,76,644,621
1963,BOS,76,85,666,704
1963,CHA,94,68,683,544
1963,CHN,82,80,570,578
1963,CIN,86,76,648,594
1963,CLE,79,83,635,702
1963,DET,79,83,700,703
1963,HOU,66,96,464,640
1963,KC1,73,89,615,704
1963,LAA,70,91,597,660
1963,LAN,99,63,640,550
1963,MIN,91,70,767,602
1963,MLN,84,78,677,603
1963,NYA,104,57,714,547
1963,NYN,51,111,501,774
1963,PHI,87,75,642,578
1963,PIT,74,88,567,595
1963,SFN,88,74,725,641
1963,SLN,93,69,747,628
1963,WS2,56,106,578,812
1964,BAL,97,65,679,567
1964,BOS,72,90,688,793
1964,CHA,98,64,642,501
1964,CHN,76,86,649,724
1964,CIN,92,70,660,566
1964,CLE,79,83,689,693
1964,DET,85,77,699,678
1964,HOU,66,96,495,628
1964,KC1,57,105,621,836
1964,LAA,82,80,544,551
1964,LAN,80,82,614,572
1964,MIN,79,83,737,678
1964,MLN,88,74,803,744
1964,NYA,99,63,730,577
1964,NYN,53,109,569,776
1964,PHI,92,70,693,632
1964,PIT,80,82,663,636
1964,SFN,90,72,656,587
1964,SLN,93,69,715,652
1964,WS2,62,100,578,733
1965,BAL,94,68,641,578
1965,BOS,62,100,669,791
1965,CAL,75,87,527,569
1965,CHA,95,67,647,555
1965,CHN,72,90,635,723
1965,CIN,89,73,825,704
1965,CLE,87,75,663,613
1965,DET,89,73,680,602
1965,HOU,65,97,569,711
1965,KC1,59,103,585,755
1965,LAN,97,65,608,521
1965,MIN,102,60,774,600
1965,MLN,86,76,708,633
1965,NYA,77,85,611,604
1965,NYN,50,112,495,752
1965,PHI,85,76,654,667
1965,PIT,90,72,675,580
1965,SFN,95,67,682,593
1965,SLN,80,81,707,674
1965,WS2,70,92,591,721
1966,ATL,85,77,782,683
1966,BAL,97,63,755,601
1966,BOS,72,90,655,731
1966,CAL,80,82,604,643
1966,CHA,83,79,574,517
1966,CHN,59,103,644,809
1966,CIN,76,84,692,702
1966,CLE,81,81,574,586
1966,DET,88,74,719,698
1966,HOU,72,90,612,695
1966,KC1,74,86,564,648
1966,LAN,95,67,606,490
1966,MIN,89,73,663,581
1966,NYA,70,89,611,612
1966,NYN,66,95,587,761
1966,PHI,87,75,696,640
1966,PIT,92,70,759,641
1966,SFN,93,68,675,626
1966,SLN,83,79,571,577
1966,WS2,71,88,557,659
1967,ATL,77,85,631,640
1967,BAL,76,85,654,592
1967,BOS,92,70,722,614
1967,CAL,84,77,567,587
1967,CHA,89,73,531,491
1967,CHN,87,74,702,624
1967,CIN,87,75,604,563
1967,CLE,75,87,559,613
1967,DET,91,71,683,587
1967,HOU,69,93,626,742
1967,KC1,62,99,533,660
1967,LAN,73,89,519,595
1967,MIN,91,71,671,590
1967,NYA,72,90,522,621
1967,NYN,61,101,498,672
1967,PHI,82,80,612,581
1967,PIT,81,81,679,693
1967,SFN,91,71,652,551
1967,SLN,101,60,695,557
1967,WS2,76,85,550,637
1968,ATL,81,81,514,549
1968,BAL,91,71,579,497
1968,BOS,86,76,614,611
1968,CAL,67,95,498,615
1968,CHA,67,95,463,527
1968,CHN,84,78,612,611
1968,CIN,83,79,690,673
1968,CLE,86,75,516,504
1968,DET,103,59,671,492
1968,HOU,72,90,510,588
1968,LAN,76,86,470,509
1968,MIN,79,83,562,546
1968,NYA,83,79,536,531
1968,NYN,73,89,473,499
1968,OAK,82,80,569,544
1968,PHI,76,86,543,615
1968,PIT,80,82,583,532
1968,SFN,88,74,599,529
1968,SLN,97,65,583,472
1968,WS2,65,96,524,665
1969,ATL,93,69,691,631
1969,BAL,109,53,779,517
1969,BOS,87,75,743,736
